,Lat,Long
0,8.888283333,-79.52146667
1,8.86163,-79.50012
2,8.83178,-79.47598
4,8.58077,-79.45135
3,8.74058,-79.45727
5,7.75348,-79.45287
6,7.03288,-80.16735
7,6.96667,-80.23578
8,6.96627,-81.83278
9,8.68737,-88.17278
11,11.12262,-109.60695
12,14.80793,-155.84985
14,28.09677,141.99122
15,29.99758,130.49528
16,30.24955,130.15135
17,30.74756667,129.3246333
18,33.00015,125.99752
19,34.08208,125.79548
20,34.16432,125.67485
21,34.51665,125.61665
22,36.68967,125.9448
23,36.76665,126
26,36.85781667,126.11715